rank,title,genre,platforms,release_date,developer,publisher,description
64,Hollow Knight: Voidheart Edition,Adventure,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2018-09-25,Team Cherry,Team Cherry,"Hollow Knight: Voidheart Edition is the definitive version of Team Cherry’s critically acclaimed action-adventure Metroidvania. Set in the ruined underground kingdom of Hallownest, players control a silent knight exploring vast interconnected areas, battling challenging enemies and bosses, and uncovering secrets through non-linear progression. The Voidheart Edition includes the original game plus all major free content updates, adding new bosses, quests, abilities, and endings. With precise combat, atmospheric hand-drawn art, and a haunting score, it is known for its deep exploration, demanding gameplay, and rich lore."
65,OMORI,RPG,"['PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",2020-12-25,"OMOCAT, LLC","OMOCAT, LLC","OMORI is a psychological horror role-playing game developed by OMOCAT, LLC. Players explore a surreal dream world and a darker real-world setting while guiding a reclusive boy named Sunny and his dream alter ego Omori. The game combines traditional turn-based combat with exploration, puzzles, and branching story elements. Its narrative focuses on friendship, trauma, memory, and mental health, shifting between whimsical and unsettling imagery as the story unfolds."
66,Final Fantasy XIV: Shadowbringers,RPG,"['PC', 'PlayStation 4', 'PlayStation 5']",2019-07-02,Square Enix,Square Enix,"Final Fantasy XIV: Shadowbringers is the third major expansion for the MMORPG Final Fantasy XIV. It follows the Warrior of Light to the First, a reflection of the Source threatened by the collapse of the Lightwardens and the Flood of Light. Players take on the role of the Warrior of Darkness, exploring new regions such as Norvrandt, Rak'tika Greatwood, Il Mheg, and the Tempest while uncovering the mystery of the Exarch and confronting powerful enemies like Emet-Selch. The expansion raised the level cap, introduced two new jobs—Gunbreaker and Dancer—and added new dungeons, raids, trials, and a major story arc widely praised for its writing, characters, and worldbuilding."
67,Silent Hill 2,Adventure,"['PlayStation 2', 'Xbox', 'PC']",2001-09-24,Team Silent,Konami,"Silent Hill 2 is a psychological survival horror adventure game set in the fog-shrouded town of Silent Hill. Players follow James Sunderland, who receives a letter from his deceased wife and travels to the town to search for her, uncovering disturbing truths about his past and the nature of guilt, grief, and loss. The game is known for its unsettling atmosphere, symbolic storytelling, memorable monsters, and haunting soundtrack by Akira Yamaoka. Its focus on exploration, puzzle-solving, and tense combat helped define one of the most acclaimed entries in the survival horror genre."
68,Fire Emblem: Awakening,RPG,['Nintendo 3DS'],2012-04-19,Intelligent Systems,Nintendo,"Fire Emblem: Awakening is a tactical role-playing game set on the continent of Ylisse, where the kingdoms of Ylisse and Plegia are threatened by war and the rise of the Fell Dragon Grima. Players command a squad of characters on grid-based battlefields, using turn-based strategy, terrain, class abilities, and support relationships to defeat enemies. The game features deep unit customization through class changes, a marriage and child system that affects character progression, and the ability to build relationships that influence combat performance. Awakening was designed to be more accessible than earlier entries in the series while still offering the challenge and permadeath options the franchise is known for. Its story follows Prince Chrom, the tactician Avatar, and the Shepherds as they fight to protect their homeland and uncover the truth behind recurring conflict. The game was widely praised for its engaging characters, refined gameplay systems, and strong presentation, helping revitalize the Fire Emblem series in the West."
69,Metroid Prime Trilogy,Adventure,['Wii'],2009-08-24,Retro Studios,Nintendo,"Metroid Prime Trilogy is a compilation of the three first-person adventure games in Nintendo’s Metroid Prime series: Metroid Prime, Metroid Prime 2: Echoes, and Metroid Prime 3: Corruption. Released for the Wii, it updates the original GameCube titles and includes Wii Remote and Nunchuk motion controls, along with enhanced presentation and convenience features. Players explore alien worlds as bounty hunter Samus Aran, scanning environments, solving puzzles, uncovering lore, and battling hostile creatures and powerful bosses. The trilogy is widely regarded as one of the best ways to experience the Prime saga, combining atmospheric exploration, combat, and progression-based discovery into one package."
70,Bayonetta 2,Action,"['Wii U', 'Nintendo Switch']",2014-09-20,PlatinumGames,Nintendo,"Bayonetta 2 is a stylish action game following the witch Bayonetta as she fights angels, demons, and other supernatural foes in fast-paced, combo-driven combat. It builds on the original game with refined mechanics, larger set-piece battles, and the signature “Witch Time” slow-motion dodge system. The story sends Bayonetta on a mission to save her friend Jeanne’s soul, leading to over-the-top encounters across diverse locations and massive cinematic boss fights. The game is known for its smooth combat, inventive weapon variety, and high production values."
71,Super Mario Galaxy 2,Adventure,['Wii'],2010-05-23,Nintendo EAD,Nintendo,"Super Mario Galaxy 2 is a 3D platforming adventure game in which Mario travels across a series of imaginative planets and galaxies to rescue Princess Peach from Bowser. Built around gravity-defying movement, the game expands on the original Super Mario Galaxy with new power-ups, more varied level designs, and the return of Yoshi, who adds fresh traversal and gameplay options. Players collect Power Stars by completing challenges, exploring secret areas, and mastering precision platforming across colorful, compact stages. The game is known for its inventive mechanics, polished controls, and high difficulty compared with many other Mario titles, making it a standout entry in the series and one of the most acclaimed platformers on the Wii."
72,Kingdom Hearts II,RPG,['PlayStation 2'],2005-12-22,Square Enix,Square Enix,"Kingdom Hearts II is an action RPG that follows Sora, Donald, and Goofy as they continue their journey through Disney-themed worlds and original Square Enix settings. Players battle with the iconic Keyblade while teaming up with familiar Disney and Final Fantasy characters to stop the forces of the Heartless and Organization XIII. The game expands on the series' fast-paced combat with new abilities, Drive Forms, and Reaction Commands, and tells a more complex story that connects to the larger Kingdom Hearts narrative."
73,Super Mario Galaxy,Adventure,"['Wii', 'Nintendo Switch']",2007-11-01,Nintendo EAD,Nintendo,"Super Mario Galaxy is a 3D platform adventure in which Mario travels across a series of imaginative planets and galaxies to rescue Princess Peach from Bowser. Released for the Nintendo Wii, the game is known for its gravity-defying movement, creative level design, and use of motion controls. Players collect Power Stars, explore diverse cosmic worlds, and use unique power-ups and planet mechanics to navigate space-based challenges. The game was widely praised for its controls, visuals, orchestral soundtrack, and inventive gameplay. It was later re-released as part of Super Mario 3D All-Stars on Nintendo Switch."
74,Rome: Total War,RTS,['PC'],2004-09-22,Creative Assembly,Activision,"Rome: Total War is a grand strategy and real-time tactics game set during the rise of the Roman Republic and Empire. Players manage provinces, armies, diplomacy, economy, and politics on a turn-based campaign map, while battles unfold in real time with thousands of troops on the field. The game features three Roman factions, multiple non-Roman factions, and a historical campaign centered on Rome’s expansion across the Mediterranean and beyond. It is known for its large-scale battles, tactical depth, and detailed portrayal of ancient warfare."
75,Paper Mario: The Thousand-Year Door,RPG,['GameCube'],2004-07-22,Intelligent Systems,Nintendo,"Paper Mario: The Thousand-Year Door is a turn-based role-playing game in which Mario teams up with a cast of unique partners to collect the seven Crystal Stars and uncover the mystery of the Thousand-Year Door in Rogueport. The game blends classic RPG combat with timing-based action commands, paper-themed exploration mechanics, humorous dialogue, and puzzle-solving across diverse areas. Players can switch between Mario and partners, use special abilities in and out of battle, and engage in audience-driven fights that add extra strategy and personality to encounters. Widely praised for its writing, art style, and combat depth, it is considered one of the most beloved entries in the Paper Mario series."
76,Pikmin 2,Adventure,"['GameCube', 'Wii U (Virtual Console)']",2004-04-29,Nintendo EAD,Nintendo,"Pikmin 2 is a real-time strategy adventure game developed by Nintendo EAD for the GameCube. A direct sequel to Pikmin, it follows Captain Olimar and his coworker Louie as they return to planet PNF-404 to collect treasure and repay a debt owed by Hocotate Freight. Players command different types of Pikmin, each with unique abilities, to solve puzzles, battle enemies, and gather valuables across varied subterranean caves and surface areas. The game expands on the original with new Pikmin types, a partner character for cooperative-style unit management, and the removal of the day limit, allowing more exploration and strategic planning. It is widely praised for its depth, challenge, and inventive level design."
77,The Legend of Zelda: The Wind Waker HD,Adventure,['Wii U'],2013-09-20,Nintendo EAD,Nintendo,"The Legend of Zelda: The Wind Waker HD is an enhanced remaster of the 2002 GameCube classic The Wind Waker. Set in a vast ocean world, players control Link as he sails between islands, explores dungeons, solves puzzles, and battles enemies to rescue his sister and confront the evil Ganon. This HD version features improved visuals, updated lighting and textures, faster sailing with the Swift Sail, refined gameplay adjustments, and GamePad support for inventory and map management. It preserves the original cel-shaded art style while modernizing the presentation and streamlining several tedious elements from the original release. The game is widely regarded as one of the most polished and beloved entries in the Zelda series."
78,Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure,"['Game Boy Advance', 'Nintendo DS', 'iOS', 'Android', 'PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",2004-01-23,Capcom,Capcom,"Phoenix Wright: Ace Attorney - Trials and Tribulations is a visual novel adventure game and the third main entry in the Ace Attorney series. Players follow defense attorney Phoenix Wright as he tackles a series of challenging courtroom cases, uncovering contradictions in witness testimonies and gathering evidence to expose the truth. The game introduces memorable new characters, including prosecutor Godot, and expands on the series’ blend of investigation, logic, and dramatic cross-examinations. It is known for its tightly written mysteries, emotional character arcs, and impactful story revelations that connect to earlier entries in the trilogy."
79,God of War III,Action,"['PlayStation 3', 'PlayStation 4']",2010-03-16,Santa Monica Studio,Sony Computer Entertainment,"God of War III is an action-adventure game and the third main entry in the God of War series. It follows Kratos as he launches a brutal assault on Mount Olympus, seeking revenge against the gods of Greek mythology after the events of God of War II. Players battle through large-scale mythological environments, solve environmental puzzles, and engage in fast-paced combat using signature weapons such as the Blades of Exile and powerful magical abilities. The game is known for its cinematic presentation, massive boss encounters, and high production values. Originally released for PlayStation 3, it later received a remastered version for PlayStation 4 as God of War III Remastered."
80,Pokemon Mystery Dungeon: Explorers of Sky,Adventure,['Nintendo DS'],2009-04-18,Chunsoft,Nintendo,"Pokémon Mystery Dungeon: Explorers of Sky is a turn-based dungeon-crawling adventure in which the player becomes a Pokémon and joins a rescue team exploring randomly generated dungeons, recruiting allies, battling wild Pokémon, and uncovering a story about time, destiny, and the fate of the world. It expands on Explorers of Time and Darkness with new story episodes, additional Pokémon, adjusted gameplay balance, and the special ability to play as select partner Pokémon in bonus chapters."
81,Half-Life 2: Episode Two,Shooter,"['PC', 'Xbox 360', 'PlayStation 3']",2007-10-10,Valve,Valve,"Half-Life 2: Episode Two is a first-person shooter and the second installment in Valve’s episodic continuation of Half-Life 2. It follows Gordon Freeman and Alyx Vance as they escape the collapsing City 17 and travel through the wilderness to the Resistance stronghold at White Forest. The game expands on Half-Life 2’s physics-driven combat and puzzle design, introducing larger outdoor environments, new vehicles, and intense encounters with both Combine forces and alien creatures. Episode Two is known for its story-driven progression, memorable set pieces, and emotional ending that left the series on a major cliffhanger."
82,Resident Evil 4,Action,"['GameCube', 'PlayStation 2', 'Windows', 'Wii', 'iOS', 'Zeebo', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Stadia', 'PlayStation 5', 'Xbox Series X/S']",2005-01-11,Capcom Production Studio 4,Capcom,"Resident Evil 4 is a third-person survival action game in which player controls Leon S. Kennedy, a U.S. government agent sent to rescue the president’s daughter, Ashley Graham, from a mysterious cult in rural Europe. Departing from the series’ earlier fixed-camera survival horror style, the game emphasizes over-the-shoulder shooting, intense combat, resource management, and exploration. Leon faces infected villagers, grotesque bio-organic enemies, and powerful bosses while uncovering the secrets behind the Las Plagas parasite. Widely acclaimed for its pacing, controls, level design, and influence on modern action games, Resident Evil 4 is considered one of the most important and highly regarded games of all time."
83,Digimon Story Time Stranger,RPG,"['PC', 'PlayStation 5', 'Xbox Series X|S']",2025-10-03,Media.Vision,Bandai Namco Entertainment,"Digimon Story Time Stranger is a turn-based role-playing game in the Digimon Story series. Players explore a story centered on time travel and the relationship between the human world and the Digital World, building a team of Digimon to battle in strategic, command-based combat. The game emphasizes collecting, evolving, and training Digimon while uncovering a new narrative adventure with modern presentation and upgraded visuals."
84,Astro Bot,Adventure,['PlayStation 5'],2024-09-06,Team Asobi,Sony Interactive Entertainment,"Astro Bot is a 3D platforming adventure starring Astro, the PlayStation mascot robot, as he explores vibrant worlds to rescue his stranded crew after a galactic mishap. Players use the DualSense controller’s haptic feedback and adaptive triggers to interact with imaginative environments, solve light puzzles, and face inventive platforming challenges. The game features a strong focus on playful mechanics, fast-paced traversal, and references to PlayStation history through cameo bots and themed worlds. Widely praised for its creativity, polished controls, and charming presentation, Astro Bot serves as a showcase for the PlayStation 5’s capabilities."
85,Half-Life,Shooter,"['PC', 'PlayStation 2', 'Linux', 'OS X']",1998-11-19,Valve,Sierra Studios,"Half-Life is a first-person shooter developed by Valve and released in 1998. Set in the secret research facility Black Mesa, the game follows theoretical physicist Gordon Freeman after a catastrophic experiment triggers an alien invasion and a military cleanup operation. Known for its immersive, story-driven presentation, Half-Life avoids cutscenes in favor of seamless in-engine events and scripted sequences, helping establish a new standard for narrative in shooters. Its tight gunplay, atmospheric world design, and intelligent enemy behavior made it one of the most influential games of its era and a cornerstone of modern first-person shooters."
86,CTR: Crash Team Racing,Sports,['PlayStation'],1999-09-30,Naughty Dog,Sony Computer Entertainment,"CTR: Crash Team Racing is a kart racing game featuring characters from the Crash Bandicoot universe. Players race through themed tracks, use power-ups and weapons, and compete in single races, time trials, and grand prix-style events. The game is known for its tight handling, challenging drift mechanics, and a battle mode that supports competitive multiplayer."
87,Final Fantasy VII,RPG,"['PlayStation', 'PC', 'PlayStation 4', 'PlayStation 5', 'Nintendo Switch', 'Xbox One', 'Xbox Series X/S', 'iOS', 'Android']",1997-01-31,Square,Square,"Final Fantasy VII is a landmark Japanese role-playing game following Cloud Strife, a mercenary who joins the eco-terrorist group AVALANCHE to fight the Shinra Corporation, which is draining the planet’s life energy. As the story unfolds, Cloud and his allies uncover deeper mysteries surrounding Sephiroth, a legendary SOLDIER turned antagonist, and confront threats that endanger both the planet and themselves. The game is celebrated for its cinematic storytelling, memorable characters, strategic turn-based combat using the Active Time Battle system, and the Materia customization system that lets players tailor abilities and magic. Originally released for the original PlayStation, it became one of the most influential and commercially successful RPGs of all time."
88,Final Fantasy IX,RPG,"['PlayStation', 'PC', 'Mobile', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",2000-07-07,Square,Square,"Final Fantasy IX is a classic fantasy role-playing game set in the world of Gaia, where conflict erupts amid the struggle between kingdoms, a mysterious mist-covered planet, and an ancient threat to existence. The story follows Zidane Tribal, a cheerful thief from the Tantalus Theater Troupe, as he becomes entangled in a kidnapping plot involving Princess Garnet of Alexandria and is drawn into a larger journey with a diverse cast of allies.

Known for returning to the series’ medieval fantasy roots after the more futuristic entries, Final Fantasy IX features active time battle combat, exploration across towns, dungeons, and an expansive world map, and a party-driven narrative emphasizing identity, memory, and mortality. It is widely praised for its charming characters, memorable music, and emotional storytelling."
89,Max Payne,Shooter,"['PC', 'PlayStation 2', 'Xbox', 'Game Boy Advance', 'iOS']",2001-07-23,Remedy Entertainment,Gathering of Developers,"Max Payne is a third-person shooter developed by Remedy Entertainment and originally released in 2001. The game follows Max Payne, a former NYPD detective framed for murder after his family is killed by drug addicts on the experimental drug Valkyr. As he hunts through the criminal underworld of New York City for the truth, Max becomes a one-man force of vengeance. The game is best known for its noir-inspired story, graphic novel-style cutscenes, and its signature bullet time mechanic, which lets players slow down time during gunfights for cinematic, tactical combat. Its gritty atmosphere, dramatic writing, and action-focused gameplay made it a landmark title in the genre and a major critical and commercial success."
90,Might and Magic VII: For Blood and Honor,RPG,['PC'],1999-03-31,New World Computing,3DO,"Might and Magic VII: For Blood and Honor is a first-person party-based role-playing game set in the fantasy world of Enroth. Players control a custom party of four heroes, choosing among classes and races, and explore a large open world filled with quests, dungeons, towns, factions, and turn-based combat. The story centers on a conflict between the kingdoms of Harmondale and Erathia, with the player’s party drawn into political intrigue, war, and ancient magic. The game features extensive character progression, spellcasting, skill development, and non-linear exploration. It is known for its deep systems, large environments, and classic dungeon-crawling gameplay, and is the seventh main entry in the long-running Might and Magic series."
91,StarCraft,RTS,['PC'],1998-03-31,Blizzard Entertainment,Blizzard Entertainment,"StarCraft is a landmark real-time strategy game set in a far-future science fiction universe. Players command one of three distinct factions—the Terrans, Zerg, or Protoss—each with unique units, structures, and strategic strengths. The game is known for its tight balance, fast-paced multiplayer, and highly competitive gameplay, which helped define modern esports. Its single-player campaign follows a conflict across the Koprulu sector as the factions struggle for survival, domination, and identity amid political intrigue and interstellar war."
92,Silent Hill,Survival,['PlayStation'],1999-01-31,Team Silent,Konami,"Silent Hill is a survival horror game that follows Harry Mason, an ordinary man searching for his missing adopted daughter, Cheryl, after a car crash strands him in the eerie fog-covered town of Silent Hill. As Harry explores deserted streets, dark buildings, and nightmarish otherworldly locations, he uncovers disturbing secrets involving occult rituals, cult activity, and the town’s supernatural power.

The game is known for its oppressive atmosphere, psychological horror, heavy fog, and unsettling sound design by Akira Yamaoka, all of which became defining features of the series. Unlike action-focused horror games, Silent Hill emphasizes exploration, puzzle-solving, limited resources, and vulnerability. Its shifting environments and symbolic monsters reflect psychological themes and trauma, helping establish it as one of the most influential horror games ever made."
93,Heroes of Might and Magic II: The Price of Loyalty,RPG,['PC'],1997-01-01,New World Computing,The 3DO Company,"The Price of Loyalty is an expansion for Heroes of Might and Magic II that adds a new campaign, additional scenarios, new creatures, artifacts, and map objects to the original turn-based strategy and fantasy role-playing game. It expands the world of Enroth with four connected campaigns—The Price of Loyalty, Descendants, Voyage Home, and Wizard's Isle—offering more maps, story content, and tactical variety. Players recruit heroes, build castles, manage resources, and command armies in grid-based battles, with the expansion introducing fresh gameplay twists and higher challenge for returning players."
94,Metal Gear Solid 2: Sons of Liberty,Action,['PlayStation 2'],2001-11-13,Konami Computer Entertainment Japan,Konami,"Metal Gear Solid 2: Sons of Liberty is a stealth-action game directed by Hideo Kojima. Set across two main chapters, it follows newly introduced operative Raiden and series protagonist Solid Snake as they uncover a conspiracy involving the Arsenal Gear weapons platform and the artificial intelligence systems controlling global information and political power. The game is known for its cinematic presentation, complex story, advanced stealth mechanics, and dynamic enemy AI. It introduced features such as first-person aiming, context-sensitive actions, and improved environmental interaction, while expanding on the series’ themes of surveillance, identity, and manipulation. Widely praised for its gameplay depth and technical ambition, it is regarded as one of the most influential titles on the PlayStation 2."
95,Jagged Alliance 2,RPG,['PC'],1999-07-23,Mikroïds,Sir-Tech,"Jagged Alliance 2 is a tactical role-playing game set in the fictional country of Arulco, where players assemble and command a team of mercenaries to overthrow a ruthless dictator. The game combines turn-based, squad-level combat with strategic management, hiring and firing mercenaries, controlling territories, training militias, and managing limited funds and supplies. It is known for its deep tactical gameplay, memorable mercenary personalities, flexible combat options, and strong player freedom in how missions are approached. The game has been praised as one of the best strategy and tactics titles of its era."
96,Final Fantasy X,RPG,"['PlayStation 2', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Nintendo Switch', 'Xbox One', 'PC']",2001-07-19,Square,Square,"Final Fantasy X is a Japanese role-playing game set in the world of Spira, where a young blitzball star named Tidus joins summoner Yuna on a pilgrimage to defeat the destructive entity known as Sin. The game features a turn-based battle system with a visible turn order, a deep character progression grid called the Sphere Grid, and fully voiced story scenes, which were a major milestone for the series. It is known for its emotional narrative, memorable characters, and distinctive tropical-fantasy setting. Originally released for PlayStation 2, it later received an HD remaster for modern platforms."
97,Populous: The Beginning,RTS,"['PC', 'PlayStation']",1998-09-30,Bullfrog Productions,Electronic Arts,"Populous: The Beginning is a real-time strategy game in the Populous series where the player takes the role of a shaman leading a tribe and competing against rival tribes across a series of 3D planets. Unlike earlier god-game entries in the series, it blends strategic base-building, unit control, and powerful magical abilities. Players can terraform terrain, summon spells, and direct followers in battles to expand their influence and defeat enemies. The game is known for its innovative 3D world, distinctive tribal theme, and emphasis on the shaman as a central combat and support unit."
98,Final Fantasy VII,RPG,"['PlayStation', 'PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One', 'iOS', 'Android']",1997-01-31,Square,Square,"Final Fantasy VII is a landmark Japanese role-playing game set in the dystopian world of Gaia, where the megacorporation Shinra drains the planet’s life energy for power. Players follow Cloud Strife, a former SOLDIER mercenary who joins the resistance group AVALANCHE and becomes entangled in a conflict that spans personal identity, environmental themes, and world-threatening stakes. The game is known for its turn-based combat, materia magic system, memorable cast, cinematic storytelling, and iconic moments such as the tragedy surrounding Aerith. Originally released for the original PlayStation, Final Fantasy VII became one of the most influential and best-selling RPGs of all time, helping bring Japanese RPGs to a global audience. It has since been widely re-released on modern platforms and remains a defining title in gaming history."
99,Command & Conquer,RTS,"['PC', 'PlayStation', 'Sega Saturn']",1995-08-31,Westwood Studios,Westwood Studios,"Command & Conquer is a real-time strategy game that helped define and popularize the modern RTS genre. Set during a fictional conflict between the Global Defense Initiative (GDI) and the Brotherhood of Nod, players gather resources, build bases, produce armies, and command units in fast-paced battles across a global war. The game is known for its distinctive live-action cutscenes, asymmetric factions, strong multiplayer support, and accessible yet tactical gameplay. It introduced many players to base-building strategy and became one of the most influential PC games of the 1990s."
100,Age of Mythology: The Titans,RTS,['PC'],2003-09-30,Ensemble Studios,Microsoft Game Studios,"Age of Mythology: The Titans is the official expansion pack for the real-time strategy game Age of Mythology. It adds the Atlantean civilization, introducing new hero-focused gameplay, unique myth units, and powerful Titan mechanics. The expansion also includes a new campaign centered on Arkantos’ son, Kastor, as he navigates conflicts involving the Atlanteans and the rise of a greater threat. Players continue to gather resources, build bases, worship gods, and command armies drawn from mythology, while the new faction and units expand strategic depth and replayability. The Titans also adds new maps, balance changes, and multiplayer options, making it a major enhancement to the original game."
101,Warcraft II: Battle.net Edition,RTS,['PC'],1999-11-30,Blizzard Entertainment,Blizzard Entertainment,"Warcraft II: Battle.net Edition is a real-time strategy game and enhanced re-release of Warcraft II: Tides of Darkness and its expansion, Beyond the Dark Portal. It includes support for Blizzard’s Battle.net online service, letting players compete in multiplayer matches over the internet. Set in the fantasy world of Azeroth, the game centers on the ongoing war between the human Alliance and the orcish Horde, with both sides also clashing against demonic and undead threats. Players gather resources, build bases, train armies, and use naval and air units in large-scale tactical battles. The Battle.net Edition also packaged the original game and expansion together, along with various compatibility and multiplayer improvements for Windows PC players."
102,Fire Emblem,RPG,"['Game Boy Advance', 'Wii U', 'Nintendo Switch', 'Nintendo 3DS']",2003-04-25,Intelligent Systems,Nintendo,"Fire Emblem, officially titled Fire Emblem: The Blazing Blade in the West, is a tactical role-playing game for the Game Boy Advance. It follows Lyn, Eliwood, and Hector as they become embroiled in political conflict, war, and a sinister plot involving dark magic and an ancient threat. The game features grid-based battles, permanent unit death in classic mode, class promotions, and a strong emphasis on story and character relationships. It was the first Fire Emblem title released outside Japan and introduced many players worldwide to the series’ strategic combat and permadeath mechanics."
103,Super Smash Bros. Melee,Action,['GameCube'],2001-11-21,HAL Laboratory,Nintendo,"Super Smash Bros. Melee is a crossover fighting game featuring characters from Nintendo franchises and beyond, including Mario, Link, Pikachu, and many more. Players battle on themed stages using attacks, special moves, items, and platforming movement to knock opponents out of the arena. Melee is known for its fast pace, precise controls, large roster, and deep competitive mechanics, which helped make it one of the most celebrated entries in the series. It also includes a variety of single-player modes, multiplayer battles, unlockable content, and a unique trophy collection system."
104,Final Fantasy IX,RPG,"['PlayStation', 'PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One', 'iOS', 'Android']",2000-07-07,Square,Square,"Final Fantasy IX is a classic Japanese role-playing game set in the fantasy world of Gaia. The story follows Zidane Tribal, a cheerful thief, and a diverse cast of companions as they become caught up in a conflict involving rival kingdoms, a powerful sorceress, and the fate of their world. Returning to a more traditional medieval-fantasy style after the futuristic settings of some earlier series entries, the game features turn-based battles, character-specific abilities, and a memorable Active Time Battle system. It is widely praised for its heartfelt story, charming art style, strong character development, and orchestral score. The original PlayStation version launched in 2000, and later remastered releases brought updated visuals and quality-of-life improvements to modern platforms."
105,Metal Gear Solid Integral,Action,['PlayStation'],1999-06-24,Kojima Productions,Konami,"Metal Gear Solid Integral is an expanded version of Metal Gear Solid featuring the original stealth-action campaign with additional content and refinements. It includes extra VR Missions, a first-person view mode, alternative difficulty options, and numerous gameplay adjustments that make it the most complete PlayStation release of the game. Integral also adds a special “Snake’s Tales” set of side missions in some regional versions, offering new objectives and scenarios built around familiar locations and mechanics. The game follows Solid Snake as he infiltrates a remote nuclear weapons facility to stop the terrorist group FOXHOUND and prevent a nuclear threat. Known for its cinematic storytelling, voice acting, and stealth-focused gameplay, Integral is especially notable for its enhanced replay value and bonus content compared with the original release."
106,Might and Magic VII: For Blood and Honor,RPG,['PC'],1999-03-22,New World Computing,3DO,"Might and Magic VII: For Blood and Honor is a first-person party-based role-playing game set in the fantasy world of Enroth. The player leads a group of adventurers through a large open-world campaign filled with towns, dungeons, quests, and faction choices that can affect the story. The game blends exploration, turn-based tactical combat, character development, and extensive class and skill progression. It features both a single-player campaign and a strong emphasis on party customization, allowing players to recruit and train characters across a variety of roles such as warriors, spellcasters, and hybrid classes. As the seventh main entry in the Might and Magic series, it is known for its expansive scope, strategic depth, and replayability."
107,StarCraft,RTS,"['PC', 'Mac']",1998-03-31,Blizzard Entertainment,Blizzard Entertainment,"StarCraft is a real-time strategy game set in a science-fiction universe where three distinct factions—the technologically advanced Terrans, the psionic Protoss, and the insectoid Zerg—battle for control of the galaxy. Known for its tightly balanced asymmetric design, cinematic campaign, and highly competitive multiplayer, the game became a landmark title in esports and strategy gaming. Players gather resources, construct bases, research upgrades, and command armies across a series of story-driven missions that unfold through the original StarCraft campaign and its acclaimed expansion, Brood War."
108,The Legend of Zelda: Ocarina of Time / Master Quest,Adventure,['GameCube'],2003-02-17,Nintendo EAD,Nintendo,"The Legend of Zelda: Ocarina of Time / Master Quest is a GameCube compilation that includes the classic action-adventure game Ocarina of Time along with Master Quest, a rearranged version of the same game featuring altered dungeon layouts and tougher puzzles. Players follow Link on a quest across Hyrule, traveling through time to stop Ganondorf and save Princess Zelda. The package was released primarily as a bonus disc included with The Wind Waker pre-orders in North America and as part of limited-edition bundles in other regions. It preserves the core story and gameplay of the original Nintendo 64 title while offering a more challenging twist for returning players."
109,Resident Evil (Remake),Survival,"['GameCube', 'PC', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X/S']",2002-03-22,Capcom Production Studio 4,Capcom,"Resident Evil (Remake) is a survival horror game and a ground-up remake of the original 1996 Resident Evil. Set in the eerie Spencer Mansion, the game follows S.T.A.R.S. members Chris Redfield and Jill Valentine as they investigate a series of bizarre murders, only to uncover a deadly conspiracy involving bio-engineered monsters and the Umbrella Corporation. The remake significantly enhances the original with updated visuals, refined controls, expanded environments, new puzzles, additional enemies, and deeper story details, while preserving the tense exploration, limited resources, and puzzle-solving that defined the series. Widely praised for its atmosphere, presentation, and faithful yet improved design, it is considered one of the best remakes in video game history."
110,Metal Gear Solid 2: Sons of Liberty,Action,"['PlayStation 2', 'Xbox', 'PlayStation 3', 'Xbox 360', 'PlayStation Vita', 'PC']",2001-11-13,Konami Computer Entertainment Japan,Konami,"Metal Gear Solid 2: Sons of Liberty is a stealth-action game directed by Hideo Kojima. Set in a tense near-future political thriller, the game follows a covert military operation aboard the tanker Discovery and later the vast offshore Big Shell facility. Players use stealth, gadgets, and tactical planning to avoid detection, disable enemies, and uncover a conspiracy involving information control, artificial intelligence, and global manipulation. The game is known for its cinematic presentation, refined stealth mechanics, environmental detail, and controversial narrative structure that shifts the playable protagonist from Solid Snake to Raiden. It became highly influential for its themes, storytelling, and gameplay innovations in the action genre."
111,Freelancer,Action,['PC'],2003-03-04,Digital Anvil,Microsoft Game Studios,"Freelancer is a space trading and combat action game set in a persistent sci-fi universe. Players take on the role of a freelance pilot navigating an open-ended career of exploration, trading, bounty hunting, and dogfighting across multiple star systems. The game features a campaign-driven story alongside sandbox gameplay, letting players upgrade ships, manage faction relationships, and move between diverse regions with different economies and dangers. Known for its accessible controls, cinematic presentation, and vibrant mod community, Freelancer blends space sim elements with fast-paced action."
